,Tin Oxide,Titania,Tungsten Oxide,Indium Oxide,T
130,941,626,1316,840,12.3
131,937,585,1412,793,12.8
132,1017,681,1246,870,11.2
133,1171,770,1162,930,11
134,1541,1185,770,1407,11.7
135,1539,1287,698,1507,13.6
136,1735,1431,628,1843,17.8
137,1571,1297,730,1729,21.4
138,1452,1250,776,1583,24.4
139,1579,1359,724,1671,25.3
140,1466,1309,773,1491,25.8
141,1280,1136,893,1240,27
142,1407,1197,905,1313,28.2
143,1389,1173,898,1363,28
144,1447,1235,859,1296,23.9
145,1551,1271,800,1432,21.3
146,1474,1173,854,1432,20.4
147,1800,1426,700,2034,19
148,1379,1101,818,1602,17.9
149,1201,943,935,1362,16.7
150,1205,925,922,1314,15.5
151,1072,784,1066,1114,15.5
152,998,714,1169,992,14.1
153,933,625,1292,884,13.1
154,883,577,1396,808,12.7
155,869,554,1460,667,11.8
156,891,576,1417,733,11.9
157,1173,878,1038,1052,9.9
158,1587,1334,702,1534,11.1
159,1852,1696,553,1931,14.1
160,1522,1331,703,1734,17.7
161,1438,1161,819,1595,21.1
162,1393,1067,905,1490,24.3
163,1452,1152,861,1508,25.6
164,1389,1108,887,1334,25.9
165,1207,994,1013,1045,26.8
166,1365,1154,940,1221,29.3
167,1247,1060,1032,1069,28.5
168,1557,1478,793,1569,25.9
169,1973,1737,617,2306,23.1
170,1975,1667,597,2359,20.5
171,1795,1485,653,2050,19.1
172,1444,1150,770,1727,17.2
173,1488,1171,731,1705,16
174,1371,1083,796,1551,14.8
175,1161,904,947,1240,14.3
176,1064,787,1057,1115,14.8
177,970,687,1196,969,13.9
178,954,645,1260,925,11.6
179,931,623,1293,828,12
180,938,650,1251,893,10.9
181,1166,885,1005,1075,10.6
182,1643,1384,667,1610,11.5
183,1934,1682,541,2051,14.3
184,1617,1333,686,1819,17.8
185,1473,1127,831,1568,20.8
186,1379,1068,899,1374,23.8
187,1385,1056,891,1268,24.2
188,1379,1087,901,1144,25.2
189,1322,1129,934,1109,27
190,1496,1205,822,1347,27.1
191,1409,1131,873,1206,25.8
192,1513,1338,764,1397,23
193,1667,1464,683,1588,20.7
194,1667,1453,684,1569,18.6
195,1430,1121,814,1322,16
196,1333,989,885,1194,14.5
197,1262,911,948,1062,13.1
198,1287,936,918,1040,12
199,1134,840,1021,917,11.9
200,999,688,1229,594,12.5
201,961,622,1382,430,12.5
202,934,569,1440,397,12.3
203,913,525,1620,370,12.5
204,969,607,1373,438,12.3
205,1182,845,1054,704,12.4
206,1740,1372,671,1476,13
207,1819,1582,575,1716,13.6
208,1427,1275,701,1398,13.9
209,1390,1191,759,1268,14.5
210,1283,1117,813,1188,15.5
211,1304,1157,793,1171,16.1
212,1364,1202,771,1250,16.3
213,1410,1268,724,1344,16.4
214,1476,1280,708,1378,16.1
215,1522,1320,690,1435,16
216,1442,1301,704,1372,15.8
217,1469,1344,677,1471,15.5
218,1467,1292,698,1439,15.4
219,1421,1202,748,1429,15.2
220,1175,945,904,1081,14.7
221,1215,912,948,993,14.2
222,1127,802,1064,837,13.8
223,1090,773,1105,761,13.9
224,1017,718,1182,650,13.9
225,997,677,1252,591,13.8
226,945,646,1308,505,13.8
227,956,661,1260,518,13.6
228,966,622,1317,571,13.6
229,1064,728,1161,842,13.5
230,1300,935,902,1145,13.8
231,1348,998,834,1218,14.6
232,1425,1068,776,1341,15
233,1474,1061,768,1406,15.4
234,1490,1039,782,1422,16.3
235,1495,1040,809,1373,17.1
236,1376,953,900,1153,19
237,1305,884,980,927,19.5
238,1283,844,1036,766,19.5
239,1392,967,930,941,19.1
240,1452,1063,856,1146,18.5
241,1633,1199,734,1417,17.4
242,1625,1191,733,1442,17.1
243,1535,1108,785,1323,16.4
244,1323,973,864,1125,16.2
245,1309,937,905,1036,15.9
246,1456,999,835,1202,15.7
247,1300,872,941,1054,15.1
248,1203,823,1004,903,15.6
249,1195,836,987,885,15.2
250,1117,802,1029,818,15.4
251,1062,711,1136,700,14.9
252,947,594,1300,580,14.5
253,1065,687,1143,815,14.2
254,1155,734,1062,1035,14.5
255,1220,782,996,1067,15.3
256,1301,862,914,1114,16.3
257,1279,870,911,1000,18.9
258,1267,883,953,906,19.4
259,1239,848,981,822,20.8
260,1128,742,1144,610,21.4
261,1243,916,962,657,21.2
262,1208,853,1060,647,20.3
263,1306,938,961,762,19.4
264,1546,1151,769,1122,18.5
265,1501,1071,823,1130,17.8
266,1605,1153,769,1637,17.9
267,1316,974,883,1272,17.4
268,1195,898,933,1098,17
269,1211,896,920,1066,16.4
270,1161,815,995,909,16.1
271,1095,767,1050,818,15.8
272,897,563,1417,472,16.3
273,842,468,1813,394,16.9
274,854,481,1756,396,16.1
275,845,472,1786,378,16.5
276,942,586,1480,432,16.4
277,1090,768,1072,699,15.7
278,1514,1230,732,1252,15.8
279,1379,1252,711,1237,17.4
280,1074,854,1032,772,17.9
281,1090,868,1026,766,18.5
282,1110,964,947,829,21
283,1102,994,955,783,21.3
284,1100,1021,952,822,21.3
285,1094,1003,965,813,21.3
286,1076,1034,964,813,21.3
287,1152,1062,928,850,20.2
288,1407,1249,720,1276,17
289,1438,1325,678,1401,15.6
290,1425,1325,678,1356,15.3
291,1279,1131,775,1243,14.5
292,1132,916,920,1083,13.9
293,1006,729,1142,795,14.5
294,982,700,1204,735,13.8
295,969,636,1271,684,14
296,941,621,1298,714,13
297,892,522,1522,456,11
298,855,478,1701,401,10.1
299,834,459,1908,361,8.8
300,909,567,1542,418,9.6
301,1061,745,1178,616,9.8
302,1441,1124,851,1089,10
303,1498,1325,684,1329,11.2
304,1343,1185,760,1311,12
305,1308,1166,792,1236,12.8
306,1209,1097,837,1147,13.1
307,1310,1207,770,1301,13.8
308,1171,1064,881,1097,16
309,1112,980,924,900,14.1
310,1132,927,944,781,12
311,1225,1111,818,1013,13.6
312,1065,953,962,790,13.7
313,1236,1084,854,1059,11.7
314,1309,1126,812,1205,11.5
315,1089,884,1006,975,12.6
316,1000,776,1141,896,12
317,1041,782,1105,911,11
318,1045,756,1137,902,11.1
319,997,744,1151,832,10.8
320,948,634,1320,715,11.3
321,878,551,1493,683,10.6
322,908,559,1477,721,10.2
323,892,522,1572,648,10.9
324,954,561,1496,612,10.8
325,1045,751,1186,800,10.4
326,1383,1109,832,1173,11
327,1597,1395,652,1519,11.2
328,1318,1124,762,1287,12.1
329,1138,898,950,966,15.1
330,1098,842,1012,828,15.6
331,1118,927,959,825,16.9
332,1170,1009,879,872,16.6
333,1112,842,1015,680,11.3
334,1390,1028,829,1002,9.6
335,1353,1096,774,1159,11.7
336,1260,1050,828,979,10.7
337,1501,1302,681,1311,10.7
338,1273,1130,795,1071,10.8
339,1179,955,928,899,10.3
340,1047,809,1064,766,10.1
341,973,739,1186,589,10.4
342,997,737,1168,631,10.3
343,970,621,1400,479,11
344,902,568,1450,479,9.1
345,921,538,1564,417,9.5
346,858,490,1707,378,9.3
347,878,457,1935,344,9.9
348,893,540,1604,413,7.6
349,1038,697,1260,605,8.1
350,1320,1035,902,991,8.7
351,1353,1235,740,1175,8.6
352,1133,933,969,923,9.7
353,1066,849,1039,829,11
354,1027,809,1081,733,13.6
355,1106,935,958,819,14.2
356,1038,907,976,723,14.2
357,1084,924,986,786,16
358,1105,982,939,850,17.7
359,1102,957,968,820,17.1
360,1240,1137,836,991,14.9
361,1443,1418,666,1454,13.4
362,1389,1341,692,1488,12.6
363,1183,989,904,1205,12.2
364,1014,798,1083,909,10.6
365,979,736,1154,769,9.9
366,1048,787,1098,835,9.6
367,1024,753,1131,793,9.7
368,974,690,1208,733,9.4
369,862,561,1449,502,8.2
370,925,602,1398,562,8
371,952,654,1210,832,7.7
372,1005,713,1130,924,8
373,1122,842,1015,974,8.5
374,1351,1201,783,1307,9.8
375,1408,1278,682,1481,11.2
376,1304,1142,772,1405,14.8
377,1207,1098,826,1195,16.8
378,1099,1014,948,868,19.2
379,1106,1068,915,874,19.1
380,1009,916,1015,738,16.3
381,962,776,1152,550,14.2
382,1093,933,976,777,13.4
383,1180,1023,886,966,14.2
384,1168,1037,868,990,12.1
385,1168,1063,876,944,10.4
386,1140,1000,916,962,10
387,1001,811,1097,778,9.8
388,953,743,1185,690,9.7
389,972,715,1237,644,9.9
390,1021,776,1144,753,9.4
391,940,664,1290,646,8.6
392,1046,736,1142,838,8.1
393,1026,699,1191,851,7.9
394,983,698,1209,801,7.4
395,915,578,1417,665,8.2
396,935,615,1373,717,6.3
397,976,669,1270,795,7.2
398,1124,842,1050,936,7.2
399,1163,919,922,1076,11.1
400,1167,966,942,1016,15.5
401,1121,955,992,834,17.8
402,1071,940,994,756,17.6
403,1065,979,950,766,19.1
404,1157,1072,888,905,17.7
405,1046,883,1051,765,17.8
406,1147,1042,934,830,18.7
407,1119,1022,916,853,17.1
408,1210,1062,886,981,15.8
409,1306,1079,827,1286,14.7
410,1258,1057,841,1244,13.6
411,1148,930,948,1056,12.5
412,1108,848,1023,1003,11.8
413,1231,924,906,1245,10.9
414,1293,937,930,1200,10.9
415,1274,912,939,1188,10.3
416,1135,827,1013,1070,9.3
417,1151,911,935,1075,8.2
418,1010,769,1110,895,8.3
419,870,626,1325,755,9.6
420,983,688,1251,806,7.7
421,995,691,1219,836,7.4
422,1024,747,1136,897,9.7
423,1163,880,959,1073,12.5
424,1218,938,918,1088,16.8
425,1210,958,933,1036,19.2
426,1114,887,1020,768,21.3
427,995,796,1159,587,21.2
428,927,700,1285,452,18.6
429,1002,754,1189,470,18
430,987,727,1213,502,18.2
431,993,714,1217,516,17
432,1012,746,1174,555,15.6
433,1114,823,1068,671,14.1
434,1093,789,1102,788,13.4
435,968,669,1261,538,12.3
436,960,666,1266,544,11.9
437,942,648,1300,500,11.5
438,888,598,1396,417,10.6
439,818,524,1588,341,10.7
440,840,509,1643,352,10.4
441,894,524,1557,397,10.1
442,864,516,1496,502,11.3
443,898,559,1441,648,10.1
444,946,643,1309,760,9.9
445,1309,1125,844,1183,8.1
446,1326,1289,714,1431,10.9
447,966,786,1111,705,11.8
448,975,793,1133,637,13.9
449,988,803,1105,658,15.6
450,971,786,1129,546,16.5
451,1010,833,1070,561,17.5
452,984,790,1131,532,17.9
453,962,776,1131,535,18.2
454,1012,801,1098,525,18
455,1058,896,996,603,17
456,1173,985,905,802,16.1
457,1127,907,957,796,14.5
458,1020,797,1066,689,13.2
459,949,700,1221,553,13.1
460,930,710,1278,509,13.5
461,900,643,1339,455,12.4
462,899,630,1418,425,13.1
463,866,569,1468,436,11.6
464,900,563,1402,618,10.5
465,949,540,1457,747,11.7
466,897,529,1462,693,12.2
467,956,605,1341,691,12.9
468,1054,779,1080,1013,11.3
469,1343,1096,839,1311,11.9
470,1584,1399,642,1675,13.3
471,1556,1337,674,1689,16.3
472,1565,1324,695,1688,17.9
473,1429,1251,734,1548,18.3
474,1419,1267,742,1490,20.8
475,1373,1213,791,1354,22.4
476,1185,992,942,1014,20.9
477,1122,897,991,831,19.1
478,1085,820,1060,699,18.1
479,1249,968,874,926,17.3
480,1236,962,853,928,15.8
481,1334,1047,815,1038,15.9
482,1264,928,884,1035,15.9
483,1073,746,1072,789,15
484,1053,701,1147,692,15.1
485,1098,747,1094,764,14.9
486,1029,702,1180,639,14.8
487,973,631,1287,541,14.8
488,972,639,1222,678,14.8
489,832,496,1613,381,14.2
490,851,477,1699,343,14.5
491,909,545,1473,436,14.6
492,1038,684,1220,688,14.4
493,1636,1168,721,1438,13.8
494,1580,1295,639,1489,13.2
495,1262,924,872,1093,10.4
496,1197,837,957,965,11.5
497,1277,886,902,1004,12.2
498,1430,1025,779,1166,12.3
499,1242,944,846,991,11.3
500,1349,1023,804,1054,13.6
501,1390,1100,755,1192,14.9
502,1224,980,850,1055,15.7
503,1253,1026,810,1048,15.2
504,1312,1041,821,1073,15.5
505,1254,1033,819,1068,14.3
506,1198,953,882,1019,13.2
507,1060,787,1044,833,12.6
508,1050,769,1078,759,12.3
509,1029,754,1098,749,12
510,1143,825,986,978,12
511,1044,770,1031,944,11.5
512,1034,716,1085,891,10.7
513,956,713,1099,849,9
514,909,615,1237,790,10.2
515,996,648,1176,852,11
516,1154,876,1002,987,9.6
517,1510,1291,675,1435,9.5
518,1722,1595,539,1798,11.9
519,1512,1323,631,1677,16.2
520,1258,1040,800,1282,19.2
521,1094,850,970,871,19.7
522,1129,875,974,759,20.6
523,1125,924,937,790,21.8
527,1308,1193,793,1187,23.6
528,1529,1331,700,1399,22.8
529,1592,1429,624,1644,20.8
530,1536,1302,666,1599,18.3
531,1192,1007,827,1223,16.8
532,1186,976,844,1200,15.8
533,1203,920,898,1118,14.9
534,1139,899,921,1067,14.1
535,1072,795,986,1048,13.3
536,954,667,1180,718,13.3
537,951,673,1137,797,11.8
538,926,638,1195,749,11.2
539,968,628,1197,737,11.3
540,1067,727,1055,903,11.4
541,1386,1083,798,1159,11.9
542,1474,1306,634,1365,12.6
543,1569,1316,634,1510,13.6
544,1375,1177,706,1386,16.9
545,1328,1123,738,1368,19.4
546,1341,1176,748,1347,22.9
547,1297,1183,765,1242,23.6
548,1303,1139,790,1138,24.7
549,1281,1116,809,1080,26.1
550,1248,1103,872,1002,27.6
551,1382,1288,778,1212,26.9
552,1491,1385,685,1486,24.3
553,1620,1407,641,1567,21.2
554,1693,1439,618,1723,19.4
555,1374,1121,771,1399,18.5
556,1287,982,841,1291,17.8
557,1408,1052,761,1443,16.8
558,1254,941,828,1270,17.1
559,1141,827,936,1110,16.2
560,1141,777,986,1060,15.1
561,1042,697,1056,965,15.1
562,986,651,1145,891,14.5
563,1005,673,1103,905,13.7
564,1041,683,1112,899,13.9
565,1272,959,846,1136,13.3
566,1436,1154,704,1391,15.1
567,1472,1126,720,1460,17
568,1418,1023,785,1410,19.7
569,1410,1030,781,1372,20.7
570,1438,1096,781,1266,23.3
571,1278,1000,866,1014,23.8
572,1257,1006,915,870,24.8
573,1331,1046,882,905,25
574,1361,1102,834,991,25.8
575,1398,1156,812,1076,25.1
576,1483,1213,764,1249,23.7
577,1697,1471,625,1548,22.1
578,1459,1124,736,1300,19.9
579,1268,918,873,1029,18.7
580,1469,1128,762,1207,18.1
581,1316,952,847,1047,17.5
582,1224,892,884,923,16.7
583,1215,843,929,862,15.9
584,1115,782,980,752,15.2
585,1124,793,965,791,14.7
586,1028,682,1090,697,14.3
587,1010,650,1171,664,13.7
588,1074,731,1020,891,12.9
589,1034,684,1110,813,13.7
590,1130,720,1063,828,15.3
591,1275,900,868,1057,18.1
592,1324,939,846,1011,21.5
593,1268,902,906,932,23.3
594,1272,924,895,881,25.1
595,1160,860,969,646,25.6
596,1136,792,1057,536,25.8
597,1296,977,863,746,26.1
598,1345,996,841,833,24.4
599,1296,983,845,802,23
600,1258,977,838,838,22.1
601,1420,1085,755,1051,19.8
602,1366,997,830,1041,18.5
603,1113,772,989,646,16.6
604,1196,853,909,769,15.8
605,1188,829,930,785,15.3
606,1102,750,1007,613,14.7
607,969,611,1239,430,14.8
608,983,600,1233,485,15
609,876,505,1456,467,15.5
610,884,489,1536,436,16
611,1024,658,1175,682,13.5
612,1126,822,945,927,12.9
613,1415,1089,767,1192,13.4
614,1631,1449,570,1615,14.5
615,1499,1247,647,1505,15.3
616,1461,1127,703,1451,15.6
617,1430,1107,713,1409,16.6
618,1498,1171,684,1434,17
619,1454,1162,682,1457,18
620,1402,1069,733,1325,19.5
621,1327,971,803,1120,21.6
622,1273,963,832,931,22.2
623,1457,1190,678,1212,20.3
624,1543,1290,631,1353,19.7
625,1499,1239,651,1359,18.8
626,1378,1102,742,1273,17.9
627,1243,928,852,1079,17.5
628,1196,885,884,973,17.4
629,1137,869,890,951,17
630,1015,718,1065,714,16.6
631,978,635,1188,579,15.9
632,933,547,1357,542,15
633,927,579,1267,562,14.5
634,908,569,1303,526,14.1
635,980,677,1141,659,14.6
636,1236,920,880,1012,14.4
637,1664,1407,594,1564,15.3
638,1757,1636,494,1806,16.2
639,1524,1350,588,1604,18.4
640,1329,1119,707,1288,19.6
641,1167,884,881,931,20.2
642,1369,1132,715,1162,20.9
643,1284,1103,755,1064,20.4
644,1221,1032,811,913,19.3
645,1096,947,872,684,18.6
646,1143,988,849,710,18.8
647,1251,1116,760,923,17.5
648,1268,1148,728,1006,16.8
649,1314,1150,726,1083,16.3
650,1315,1142,724,1161,15.6
651,1095,918,896,800,15.7
652,1027,808,996,647,15.8
653,1012,752,1053,649,15.7
654,948,710,1127,575,15.7
655,889,603,1308,455,15.6
656,830,538,1475,392,15.6
657,801,464,1749,340,16.1
658,804,468,1826,320,15.7
659,824,478,1705,331,15.3
660,1000,688,1257,426,14.2
661,1307,1082,777,830,14.3
662,1286,1171,716,1006,15
663,1150,925,865,820,13.6
664,1087,876,911,737,16.1
665,1016,839,991,790,16.6
666,1029,892,937,760,17.4
667,1109,943,883,767,18.1
668,997,817,1030,626,14.4
669,1177,880,927,776,10.9
670,1045,808,1038,589,16.4
671,1171,1073,847,872,18
672,1221,1101,799,996,14.7
673,1262,1133,774,1033,11.3
674,1207,1013,876,982,10
675,956,666,1235,518,9.8
676,1020,727,1153,631,9.3
677,1107,861,957,879,9.6
678,1020,752,1074,839,9.3
679,1051,798,1016,876,9
680,965,716,1087,827,8.2
681,890,672,1183,781,7.6
682,823,568,1366,699,8.3
683,869,642,1291,723,8.1
684,939,754,1169,797,8.1
685,1274,1109,820,1138,8.1
686,1512,1482,596,1605,9.9
687,1435,1271,676,1569,13
688,1207,1041,813,1319,16.5
689,1223,1075,818,1198,19.3
690,1121,1026,865,958,21.5
691,1176,1123,816,1068,20.4
692,1144,1114,845,1010,20.6
693,1136,1089,856,928,20.6
694,1085,1004,888,816,21
695,1297,1287,723,1216,21.5
696,1408,1404,646,1463,19.3
697,1618,1530,579,1791,18
698,1319,1172,746,1425,15.8
699,1045,857,968,922,15.3
700,1058,824,993,971,14.1
725,1176,917,866,1151,12
726,1047,783,1014,975,12
727,1116,854,929,1034,11.5
728,1074,832,951,980,11.4
729,922,687,1142,825,11.1
730,898,669,1163,807,10.8
731,970,708,1121,842,10.2
732,1073,812,988,950,10.8
733,1081,906,895,1024,11
734,1159,976,837,1098,12.4
735,1112,931,869,1011,15
736,1112,917,897,931,16.6
737,1063,877,971,811,18
738,1032,892,973,756,20.6
739,936,829,1054,607,19.9
740,883,766,1152,498,19.8
741,942,852,1055,540,21.4
742,943,850,1084,544,22.1
743,1007,875,1027,620,21.1
744,1037,927,949,740,18.3
745,1127,1022,871,921,16.1
746,1123,996,861,1033,14.8
747,1110,909,916,984,13.2
748,1247,1037,812,1193,12.3
749,1220,967,844,1219,11.8
750,1028,770,1047,913,11.2
751,978,711,1144,750,11
752,949,694,1160,772,9.3
753,910,709,1162,712,8.8
754,863,651,1224,712,7.8
755,836,643,1244,727,7.7
756,856,644,1259,746,7.4
757,888,651,1240,733,8.2
758,912,694,1196,727,8.7
759,938,706,1177,642,13
760,1053,823,1040,810,17.4
761,1087,870,1014,851,20.2
762,1153,945,969,911,22.7
763,894,710,1209,611,22.3
764,797,606,1452,368,22.2
765,854,658,1409,369,22
766,892,665,1348,394,21
767,935,672,1299,415,19.6
768,989,709,1225,469,17.9
769,1063,797,1079,607,16.4
770,922,674,1220,498,15.6
771,925,680,1223,481,15.5
772,924,648,1272,465,14.5
773,914,661,1256,478,14.2
774,840,556,1474,366,13.7
775,799,514,1615,332,14.1
776,856,581,1448,346,14.6
777,830,560,1452,350,14.4
778,753,462,1822,274,13.9
779,785,448,1923,263,13.5
780,835,472,1756,314,13.9
781,865,494,1613,367,13.5
782,922,541,1453,432,13.3
783,975,598,1268,536,13.4
784,1040,646,1210,555,13
785,1115,707,1105,677,12.7
786,1004,641,1201,557,12.1
787,895,536,1415,421,11.2
788,917,563,1415,423,10.7
789,1025,689,1189,519,11.4
790,1035,660,1222,533,9.9
791,1025,682,1197,537,10.3
792,1040,705,1149,612,11
793,1070,776,1065,697,10.6
794,964,692,1176,573,10.6
795,904,635,1269,489,10.6
796,913,626,1271,474,10.3
797,914,610,1322,455,10.4
798,893,587,1368,433,10.7
799,844,532,1499,376,10.5
800,837,518,1581,360,10.5
801,868,530,1482,384,10.6
802,825,489,1565,363,11.1
803,956,656,1251,525,10.1
804,1124,853,960,873,10
805,1496,1272,667,1399,11
806,1452,1354,620,1501,12
807,1172,1042,797,1186,12.8
808,1020,871,956,911,12.6
809,1044,900,934,919,13.8
810,1020,866,972,791,15.1
811,1009,885,994,751,16.3
812,1073,966,935,805,16.6
813,1098,971,877,966,15.8
814,1061,887,920,869,16.3
815,1289,1158,755,1196,16.1
816,1442,1337,630,1523,15.3
817,1479,1343,631,1579,14.7
818,1266,1138,726,1370,14.1
819,1149,952,845,1204,13.5
820,1168,954,843,1201,12.3
821,1079,847,925,1122,11.6
822,1047,760,1032,1003,11.5
823,936,705,1086,918,10.9
824,900,635,1207,836,11.1
825,839,576,1325,759,10.7
826,840,563,1349,755,10.7
827,905,670,1191,820,10.2
828,1079,875,947,998,10.3
829,1417,1246,669,1403,10.8
830,1529,1497,569,1641,13.3
831,1397,1248,659,1534,15.8
832,1214,1061,780,1257,19.5
833,1109,935,882,1026,21.1
834,1122,993,859,993,18.4
835,1094,966,877,919,21
836,1164,1076,788,1032,21.4
837,1188,1082,790,1077,21.3
838,1098,934,895,883,20.4
839,1180,1014,826,1036,18.7
840,1195,1072,799,1144,18.6
841,1234,1095,789,1212,17.9
842,1425,1242,675,1486,16.5
843,1320,1085,730,1440,14.8
844,1158,892,870,1242,13.4
845,1060,805,964,1089,13.4
846,1036,746,1034,993,12.3
847,943,660,1163,862,11.6
848,899,591,1243,815,10.7
849,889,559,1331,714,10.2
850,847,527,1416,682,10.5
851,918,625,1255,744,9.3
852,1105,897,906,1050,9.1
853,1491,1335,625,1522,10.2
854,1508,1355,609,1623,11.6
855,1489,1270,633,1638,13.5
856,1451,1219,661,1633,15
857,1454,1225,661,1654,17.1
858,1392,1210,689,1559,18.4
859,1351,1210,709,1374,19.3
860,1418,1282,681,1418,19.2
861,1303,1143,748,1228,21.5
862,1292,1116,746,1293,19.6
863,1560,1413,594,1642,19.6
864,1765,1507,533,1895,18.3
865,1875,1637,482,2086,17.4
866,1746,1409,553,1898,16.8
867,1607,1290,587,1758,16.2
868,1277,952,802,1284,14.9
869,1207,868,877,1075,13.9
870,1209,863,882,1084,13.7
871,1189,844,887,1049,13.4
872,1132,810,899,1021,12.8
873,974,635,1159,778,12.9
874,1033,686,1030,948,11.9
875,1075,782,941,988,11.6
876,1242,978,778,1184,11.7
877,1657,1384,579,1600,12.8
878,1406,1258,636,1495,13.8
879,1150,973,827,1188,15.3
880,1184,983,823,1166,16.6
881,1223,1014,781,1219,17.6
882,1196,997,802,1128,19.2
883,1559,1267,653,1373,15.7
884,1544,1266,613,1415,14.5
885,1485,1223,650,1302,14.4
886,1498,1230,649,1308,14.6
887,1593,1378,582,1449,14.6
888,1529,1309,627,1385,14
889,1689,1474,560,1492,13.9
890,1535,1295,627,1380,13.8
891,1304,1067,737,1167,13.5
892,1235,963,803,1095,13.1
893,1281,977,794,1105,12.8
894,1167,904,846,1051,12.7
895,1134,863,869,1009,12.5
896,1100,829,887,972,12.7
897,1057,768,958,884,12.4
898,902,652,1158,661,12.6
899,982,724,1055,774,12.8
900,997,769,1002,868,12.6
901,1141,902,905,965,12.5
902,1163,930,849,985,12.8
903,1107,864,911,963,13.5
904,1228,949,838,1069,14.6
905,1033,810,969,864,16.8
