,Tin Oxide,Titania,Tungsten Oxide,Indium Oxide,T
95,1438.0,1051.0,943.0,1206.0,21.3
96,1478.0,1055.0,929.0,1262.0,19.7
97,1808.0,1312.0,753.0,1698.0,18.4
98,1898.0,1381.0,681.0,1905.0,17.6
99,1560.0,1140.0,784.0,1648.0,16.7
100,1324.0,940.0,924.0,1423.0,16.3
101,1349.0,933.0,933.0,1349.0,14.7
102,1239.0,872.0,985.0,1250.0,14.8
103,1239.0,853.0,1010.0,1174.0,14.0
104,1224.0,855.0,998.0,1149.0,13.4
105,1078.0,734.0,1128.0,1021.0,12.6
106,1078.0,711.0,1150.0,1013.0,12.3
107,1075.0,703.0,1156.0,1010.0,11.9
108,1157.0,830.0,1030.0,1083.0,11.4
109,1314.0,966.0,897.0,1235.0,11.3
110,1797.0,1451.0,652.0,1680.0,12.4
111,1961.0,1701.0,537.0,2184.0,14.8
112,1771.0,1470.0,622.0,1973.0,17.4
113,1564.0,1300.0,710.0,1798.0,19.8
114,1430.0,1120.0,831.0,1522.0,22.0
115,1417.0,1146.0,830.0,1404.0,23.3
116,1400.0,1162.0,838.0,1263.0,23.9
117,1317.0,1053.0,926.0,1137.0,24.4
118,1318.0,1033.0,950.0,1068.0,24.4
119,1445.0,1141.0,857.0,1252.0,23.8
120,1917.0,1601.0,631.0,1843.0,22.5
121,2040.0,1754.0,542.0,2122.0,20.4
122,1895.0,1573.0,565.0,1992.0,18.3
123,1595.0,1294.0,678.0,1707.0,16.7
124,1439.0,1159.0,764.0,1494.0,15.7
125,1142.0,852.0,1008.0,1164.0,15.3
126,1304.0,1019.0,852.0,1272.0,14.1
127,1074.0,784.0,1098.0,1040.0,14.8
128,968.0,640.0,1320.0,867.0,14.8
129,929.0,608.0,1376.0,826.0,13.6
130,941.0,626.0,1316.0,840.0,12.3
131,937.0,585.0,1412.0,793.0,12.8
132,1017.0,681.0,1246.0,870.0,11.2
133,1171.0,770.0,1162.0,930.0,11.0
134,1541.0,1185.0,770.0,1407.0,11.7
135,1539.0,1287.0,698.0,1507.0,13.6
136,1735.0,1431.0,628.0,1843.0,17.8
137,1571.0,1297.0,730.0,1729.0,21.4
138,1452.0,1250.0,776.0,1583.0,24.4
139,1579.0,1359.0,724.0,1671.0,25.3
140,1466.0,1309.0,773.0,1491.0,25.8
141,1280.0,1136.0,893.0,1240.0,27.0
142,1407.0,1197.0,905.0,1313.0,28.2
143,1389.0,1173.0,898.0,1363.0,28.0
144,1447.0,1235.0,859.0,1296.0,23.9
145,1551.0,1271.0,800.0,1432.0,21.3
146,1474.0,1173.0,854.0,1432.0,20.4
147,1800.0,1426.0,700.0,2034.0,19.0
148,1379.0,1101.0,818.0,1602.0,17.9
149,1201.0,943.0,935.0,1362.0,16.7
150,1205.0,925.0,922.0,1314.0,15.5
151,1072.0,784.0,1066.0,1114.0,15.5
152,998.0,714.0,1169.0,992.0,14.1
153,933.0,625.0,1292.0,884.0,13.1
154,883.0,577.0,1396.0,808.0,12.7
155,869.0,554.0,1460.0,667.0,11.8
156,891.0,576.0,1417.0,733.0,11.9
157,1173.0,878.0,1038.0,1052.0,9.9
158,1587.0,1334.0,702.0,1534.0,11.1
159,1852.0,1696.0,553.0,1931.0,14.1
160,1522.0,1331.0,703.0,1734.0,17.7
161,1438.0,1161.0,819.0,1595.0,21.1
162,1393.0,1067.0,905.0,1490.0,24.3
163,1452.0,1152.0,861.0,1508.0,25.6
164,1389.0,1108.0,887.0,1334.0,25.9
165,1207.0,994.0,1013.0,1045.0,26.8
166,1365.0,1154.0,940.0,1221.0,29.3
167,1247.0,1060.0,1032.0,1069.0,28.5
168,1557.0,1478.0,793.0,1569.0,25.9
169,1973.0,1737.0,617.0,2306.0,23.1
170,1975.0,1667.0,597.0,2359.0,20.5
171,1795.0,1485.0,653.0,2050.0,19.1
172,1444.0,1150.0,770.0,1727.0,17.2
173,1488.0,1171.0,731.0,1705.0,16.0
174,1371.0,1083.0,796.0,1551.0,14.8
175,1161.0,904.0,947.0,1240.0,14.3
176,1064.0,787.0,1057.0,1115.0,14.8
177,970.0,687.0,1196.0,969.0,13.9
178,954.0,645.0,1260.0,925.0,11.6
179,931.0,623.0,1293.0,828.0,12.0
180,938.0,650.0,1251.0,893.0,10.9
181,1166.0,885.0,1005.0,1075.0,10.6
182,1643.0,1384.0,667.0,1610.0,11.5
183,1934.0,1682.0,541.0,2051.0,14.3
184,1617.0,1333.0,686.0,1819.0,17.8
185,1473.0,1127.0,831.0,1568.0,20.8
186,1379.0,1068.0,899.0,1374.0,23.8
187,1385.0,1056.0,891.0,1268.0,24.2
188,1379.0,1087.0,901.0,1144.0,25.2
189,1322.0,1129.0,934.0,1109.0,27.0
190,1496.0,1205.0,822.0,1347.0,27.1
191,1409.0,1131.0,873.0,1206.0,25.8
192,1513.0,1338.0,764.0,1397.0,23.0
193,1667.0,1464.0,683.0,1588.0,20.7
194,1667.0,1453.0,684.0,1569.0,18.6
195,1430.0,1121.0,814.0,1322.0,16.0
196,1333.0,989.0,885.0,1194.0,14.5
197,1262.0,911.0,948.0,1062.0,13.1
198,1287.0,936.0,918.0,1040.0,12.0
199,1134.0,840.0,1021.0,917.0,11.9
200,999.0,688.0,1229.0,594.0,12.5
201,961.0,622.0,1382.0,430.0,12.5
202,934.0,569.0,1440.0,397.0,12.3
203,913.0,525.0,1620.0,370.0,12.5
204,969.0,607.0,1373.0,438.0,12.3
205,1182.0,845.0,1054.0,704.0,12.4
206,1740.0,1372.0,671.0,1476.0,13.0
207,1819.0,1582.0,575.0,1716.0,13.6
208,1427.0,1275.0,701.0,1398.0,13.9
209,1390.0,1191.0,759.0,1268.0,14.5
210,1283.0,1117.0,813.0,1188.0,15.5
211,1304.0,1157.0,793.0,1171.0,16.1
212,1364.0,1202.0,771.0,1250.0,16.3
213,1410.0,1268.0,724.0,1344.0,16.4
214,1476.0,1280.0,708.0,1378.0,16.1
215,1522.0,1320.0,690.0,1435.0,16.0
216,1442.0,1301.0,704.0,1372.0,15.8
217,1469.0,1344.0,677.0,1471.0,15.5
218,1467.0,1292.0,698.0,1439.0,15.4
219,1421.0,1202.0,748.0,1429.0,15.2
220,1175.0,945.0,904.0,1081.0,14.7
221,1215.0,912.0,948.0,993.0,14.2
222,1127.0,802.0,1064.0,837.0,13.8
223,1090.0,773.0,1105.0,761.0,13.9
224,1017.0,718.0,1182.0,650.0,13.9
225,997.0,677.0,1252.0,591.0,13.8
226,945.0,646.0,1308.0,505.0,13.8
227,956.0,661.0,1260.0,518.0,13.6
228,966.0,622.0,1317.0,571.0,13.6
229,1064.0,728.0,1161.0,842.0,13.5
230,1300.0,935.0,902.0,1145.0,13.8
231,1348.0,998.0,834.0,1218.0,14.6
232,1425.0,1068.0,776.0,1341.0,15.0
233,1474.0,1061.0,768.0,1406.0,15.4
234,1490.0,1039.0,782.0,1422.0,16.3
235,1495.0,1040.0,809.0,1373.0,17.1
236,1376.0,953.0,900.0,1153.0,19.0
237,1305.0,884.0,980.0,927.0,19.5
238,1283.0,844.0,1036.0,766.0,19.5
239,1392.0,967.0,930.0,941.0,19.1
240,1452.0,1063.0,856.0,1146.0,18.5
241,1633.0,1199.0,734.0,1417.0,17.4
242,1625.0,1191.0,733.0,1442.0,17.1
243,1535.0,1108.0,785.0,1323.0,16.4
244,1323.0,973.0,864.0,1125.0,16.2
245,1309.0,937.0,905.0,1036.0,15.9
246,1456.0,999.0,835.0,1202.0,15.7
247,1300.0,872.0,941.0,1054.0,15.1
248,1203.0,823.0,1004.0,903.0,15.6
249,1195.0,836.0,987.0,885.0,15.2
250,1117.0,802.0,1029.0,818.0,15.4
251,1062.0,711.0,1136.0,700.0,14.9
252,947.0,594.0,1300.0,580.0,14.5
253,1065.0,687.0,1143.0,815.0,14.2
254,1155.0,734.0,1062.0,1035.0,14.5
255,1220.0,782.0,996.0,1067.0,15.3
256,1301.0,862.0,914.0,1114.0,16.3
257,1279.0,870.0,911.0,1000.0,18.9
258,1267.0,883.0,953.0,906.0,19.4
259,1239.0,848.0,981.0,822.0,20.8
260,1128.0,742.0,1144.0,610.0,21.4
261,1243.0,916.0,962.0,657.0,21.2
262,1208.0,853.0,1060.0,647.0,20.3
263,1306.0,938.0,961.0,762.0,19.4
264,1546.0,1151.0,769.0,1122.0,18.5
265,1501.0,1071.0,823.0,1130.0,17.8
266,1605.0,1153.0,769.0,1637.0,17.9
267,1316.0,974.0,883.0,1272.0,17.4
268,1195.0,898.0,933.0,1098.0,17.0
269,1211.0,896.0,920.0,1066.0,16.4
270,1161.0,815.0,995.0,909.0,16.1
271,1095.0,767.0,1050.0,818.0,15.8
272,897.0,563.0,1417.0,472.0,16.3
273,842.0,468.0,1813.0,394.0,16.9
274,854.0,481.0,1756.0,396.0,16.1
275,845.0,472.0,1786.0,378.0,16.5
276,942.0,586.0,1480.0,432.0,16.4
277,1090.0,768.0,1072.0,699.0,15.7
278,1514.0,1230.0,732.0,1252.0,15.8
279,1379.0,1252.0,711.0,1237.0,17.4
280,1074.0,854.0,1032.0,772.0,17.9
281,1090.0,868.0,1026.0,766.0,18.5
282,1110.0,964.0,947.0,829.0,21.0
283,1102.0,994.0,955.0,783.0,21.3
284,1100.0,1021.0,952.0,822.0,21.3
285,1094.0,1003.0,965.0,813.0,21.3
286,1076.0,1034.0,964.0,813.0,21.3
287,1152.0,1062.0,928.0,850.0,20.2
288,1407.0,1249.0,720.0,1276.0,17.0
289,1438.0,1325.0,678.0,1401.0,15.6
290,1425.0,1325.0,678.0,1356.0,15.3
291,1279.0,1131.0,775.0,1243.0,14.5
292,1132.0,916.0,920.0,1083.0,13.9
293,1006.0,729.0,1142.0,795.0,14.5
294,982.0,700.0,1204.0,735.0,13.8
295,969.0,636.0,1271.0,684.0,14.0
296,941.0,621.0,1298.0,714.0,13.0
297,892.0,522.0,1522.0,456.0,11.0
298,855.0,478.0,1701.0,401.0,10.1
299,834.0,459.0,1908.0,361.0,8.8
300,909.0,567.0,1542.0,418.0,9.6
301,1061.0,745.0,1178.0,616.0,9.8
302,1441.0,1124.0,851.0,1089.0,10.0
303,1498.0,1325.0,684.0,1329.0,11.2
304,1343.0,1185.0,760.0,1311.0,12.0
305,1308.0,1166.0,792.0,1236.0,12.8
306,1209.0,1097.0,837.0,1147.0,13.1
307,1310.0,1207.0,770.0,1301.0,13.8
308,1171.0,1064.0,881.0,1097.0,16.0
309,1112.0,980.0,924.0,900.0,14.1
310,1132.0,927.0,944.0,781.0,12.0
311,1225.0,1111.0,818.0,1013.0,13.6
312,1065.0,953.0,962.0,790.0,13.7
313,1236.0,1084.0,854.0,1059.0,11.7
314,1309.0,1126.0,812.0,1205.0,11.5
315,1089.0,884.0,1006.0,975.0,12.6
316,1000.0,776.0,1141.0,896.0,12.0
317,1041.0,782.0,1105.0,911.0,11.0
318,1045.0,756.0,1137.0,902.0,11.1
319,997.0,744.0,1151.0,832.0,10.8
320,948.0,634.0,1320.0,715.0,11.3
321,878.0,551.0,1493.0,683.0,10.6
322,908.0,559.0,1477.0,721.0,10.2
323,892.0,522.0,1572.0,648.0,10.9
324,954.0,561.0,1496.0,612.0,10.8
325,1045.0,751.0,1186.0,800.0,10.4
326,1383.0,1109.0,832.0,1173.0,11.0
327,1597.0,1395.0,652.0,1519.0,11.2
328,1318.0,1124.0,762.0,1287.0,12.1
329,1138.0,898.0,950.0,966.0,15.1
330,1098.0,842.0,1012.0,828.0,15.6
331,1118.0,927.0,959.0,825.0,16.9
332,1170.0,1009.0,879.0,872.0,16.6
333,1112.0,842.0,1015.0,680.0,11.3
334,1390.0,1028.0,829.0,1002.0,9.6
335,1353.0,1096.0,774.0,1159.0,11.7
336,1260.0,1050.0,828.0,979.0,10.7
337,1501.0,1302.0,681.0,1311.0,10.7
338,1273.0,1130.0,795.0,1071.0,10.8
339,1179.0,955.0,928.0,899.0,10.3
340,1047.0,809.0,1064.0,766.0,10.1
341,973.0,739.0,1186.0,589.0,10.4
342,997.0,737.0,1168.0,631.0,10.3
343,970.0,621.0,1400.0,479.0,11.0
344,902.0,568.0,1450.0,479.0,9.1
345,921.0,538.0,1564.0,417.0,9.5
346,858.0,490.0,1707.0,378.0,9.3
347,878.0,457.0,1935.0,344.0,9.9
348,893.0,540.0,1604.0,413.0,7.6
349,1038.0,697.0,1260.0,605.0,8.1
350,1320.0,1035.0,902.0,991.0,8.7
351,1353.0,1235.0,740.0,1175.0,8.6
352,1133.0,933.0,969.0,923.0,9.7
353,1066.0,849.0,1039.0,829.0,11.0
354,1027.0,809.0,1081.0,733.0,13.6
355,1106.0,935.0,958.0,819.0,14.2
356,1038.0,907.0,976.0,723.0,14.2
357,1084.0,924.0,986.0,786.0,16.0
358,1105.0,982.0,939.0,850.0,17.7
359,1102.0,957.0,968.0,820.0,17.1
360,1240.0,1137.0,836.0,991.0,14.9
361,1443.0,1418.0,666.0,1454.0,13.4
362,1389.0,1341.0,692.0,1488.0,12.6
363,1183.0,989.0,904.0,1205.0,12.2
364,1014.0,798.0,1083.0,909.0,10.6
365,979.0,736.0,1154.0,769.0,9.9
366,1048.0,787.0,1098.0,835.0,9.6
367,1024.0,753.0,1131.0,793.0,9.7
368,974.0,690.0,1208.0,733.0,9.4
369,862.0,561.0,1449.0,502.0,8.2
370,925.0,602.0,1398.0,562.0,8.0
371,952.0,654.0,1210.0,832.0,7.7
372,1005.0,713.0,1130.0,924.0,8.0
373,1122.0,842.0,1015.0,974.0,8.5
374,1351.0,1201.0,783.0,1307.0,9.8
375,1408.0,1278.0,682.0,1481.0,11.2
376,1304.0,1142.0,772.0,1405.0,14.8
377,1207.0,1098.0,826.0,1195.0,16.8
378,1099.0,1014.0,948.0,868.0,19.2
379,1106.0,1068.0,915.0,874.0,19.1
380,1009.0,916.0,1015.0,738.0,16.3
381,962.0,776.0,1152.0,550.0,14.2
382,1093.0,933.0,976.0,777.0,13.4
383,1180.0,1023.0,886.0,966.0,14.2
384,1168.0,1037.0,868.0,990.0,12.1
385,1168.0,1063.0,876.0,944.0,10.4
386,1140.0,1000.0,916.0,962.0,10.0
387,1001.0,811.0,1097.0,778.0,9.8
388,953.0,743.0,1185.0,690.0,9.7
389,972.0,715.0,1237.0,644.0,9.9
390,1021.0,776.0,1144.0,753.0,9.4
391,940.0,664.0,1290.0,646.0,8.6
392,1046.0,736.0,1142.0,838.0,8.1
393,1026.0,699.0,1191.0,851.0,7.9
394,983.0,698.0,1209.0,801.0,7.4
395,915.0,578.0,1417.0,665.0,8.2
396,935.0,615.0,1373.0,717.0,6.3
397,976.0,669.0,1270.0,795.0,7.2
398,1124.0,842.0,1050.0,936.0,7.2
399,1163.0,919.0,922.0,1076.0,11.1
400,1167.0,966.0,942.0,1016.0,15.5
401,1121.0,955.0,992.0,834.0,17.8
402,1071.0,940.0,994.0,756.0,17.6
403,1065.0,979.0,950.0,766.0,19.1
404,1157.0,1072.0,888.0,905.0,17.7
405,1046.0,883.0,1051.0,765.0,17.8
406,1147.0,1042.0,934.0,830.0,18.7
407,1119.0,1022.0,916.0,853.0,17.1
408,1210.0,1062.0,886.0,981.0,15.8
409,1306.0,1079.0,827.0,1286.0,14.7
410,1258.0,1057.0,841.0,1244.0,13.6
411,1148.0,930.0,948.0,1056.0,12.5
412,1108.0,848.0,1023.0,1003.0,11.8
413,1231.0,924.0,906.0,1245.0,10.9
414,1293.0,937.0,930.0,1200.0,10.9
415,1274.0,912.0,939.0,1188.0,10.3
416,1135.0,827.0,1013.0,1070.0,9.3
417,1151.0,911.0,935.0,1075.0,8.2
418,1010.0,769.0,1110.0,895.0,8.3
419,870.0,626.0,1325.0,755.0,9.6
420,983.0,688.0,1251.0,806.0,7.7
421,995.0,691.0,1219.0,836.0,7.4
422,1024.0,747.0,1136.0,897.0,9.7
423,1163.0,880.0,959.0,1073.0,12.5
424,1218.0,938.0,918.0,1088.0,16.8
425,1210.0,958.0,933.0,1036.0,19.2
426,1114.0,887.0,1020.0,768.0,21.3
427,995.0,796.0,1159.0,587.0,21.2
428,927.0,700.0,1285.0,452.0,18.6
429,1002.0,754.0,1189.0,470.0,18.0
430,987.0,727.0,1213.0,502.0,18.2
431,993.0,714.0,1217.0,516.0,17.0
432,1012.0,746.0,1174.0,555.0,15.6
433,1114.0,823.0,1068.0,671.0,14.1
434,1093.0,789.0,1102.0,788.0,13.4
435,968.0,669.0,1261.0,538.0,12.3
436,960.0,666.0,1266.0,544.0,11.9
437,942.0,648.0,1300.0,500.0,11.5
438,888.0,598.0,1396.0,417.0,10.6
439,818.0,524.0,1588.0,341.0,10.7
440,840.0,509.0,1643.0,352.0,10.4
441,894.0,524.0,1557.0,397.0,10.1
442,864.0,516.0,1496.0,502.0,11.3
443,898.0,559.0,1441.0,648.0,10.1
444,946.0,643.0,1309.0,760.0,9.9
445,1309.0,1125.0,844.0,1183.0,8.1
446,1326.0,1289.0,714.0,1431.0,10.9
447,966.0,786.0,1111.0,705.0,11.8
448,975.0,793.0,1133.0,637.0,13.9
449,988.0,803.0,1105.0,658.0,15.6
450,971.0,786.0,1129.0,546.0,16.5
451,1010.0,833.0,1070.0,561.0,17.5
452,984.0,790.0,1131.0,532.0,17.9
453,962.0,776.0,1131.0,535.0,18.2
454,1012.0,801.0,1098.0,525.0,18.0
455,1058.0,896.0,996.0,603.0,17.0
456,1173.0,985.0,905.0,802.0,16.1
457,1127.0,907.0,957.0,796.0,14.5
458,1020.0,797.0,1066.0,689.0,13.2
459,949.0,700.0,1221.0,553.0,13.1
460,930.0,710.0,1278.0,509.0,13.5
461,900.0,643.0,1339.0,455.0,12.4
462,899.0,630.0,1418.0,425.0,13.1
463,866.0,569.0,1468.0,436.0,11.6
464,900.0,563.0,1402.0,618.0,10.5
465,949.0,540.0,1457.0,747.0,11.7
466,897.0,529.0,1462.0,693.0,12.2
467,956.0,605.0,1341.0,691.0,12.9
468,1054.0,779.0,1080.0,1013.0,11.3
469,1343.0,1096.0,839.0,1311.0,11.9
470,1584.0,1399.0,642.0,1675.0,13.3
471,1556.0,1337.0,674.0,1689.0,16.3
472,1565.0,1324.0,695.0,1688.0,17.9
473,1429.0,1251.0,734.0,1548.0,18.3
474,1419.0,1267.0,742.0,1490.0,20.8
475,1373.0,1213.0,791.0,1354.0,22.4
476,1185.0,992.0,942.0,1014.0,20.9
477,1122.0,897.0,991.0,831.0,19.1
478,1085.0,820.0,1060.0,699.0,18.1
479,1249.0,968.0,874.0,926.0,17.3
480,1236.0,962.0,853.0,928.0,15.8
481,1334.0,1047.0,815.0,1038.0,15.9
482,1264.0,928.0,884.0,1035.0,15.9
483,1073.0,746.0,1072.0,789.0,15.0
484,1053.0,701.0,1147.0,692.0,15.1
485,1098.0,747.0,1094.0,764.0,14.9
486,1029.0,702.0,1180.0,639.0,14.8
487,973.0,631.0,1287.0,541.0,14.8
488,972.0,639.0,1222.0,678.0,14.8
489,832.0,496.0,1613.0,381.0,14.2
490,851.0,477.0,1699.0,343.0,14.5
491,909.0,545.0,1473.0,436.0,14.6
492,1038.0,684.0,1220.0,688.0,14.4
493,1636.0,1168.0,721.0,1438.0,13.8
494,1580.0,1295.0,639.0,1489.0,13.2
495,1262.0,924.0,872.0,1093.0,10.4
496,1197.0,837.0,957.0,965.0,11.5
497,1277.0,886.0,902.0,1004.0,12.2
498,1430.0,1025.0,779.0,1166.0,12.3
499,1242.0,944.0,846.0,991.0,11.3
500,1349.0,1023.0,804.0,1054.0,13.6
501,1390.0,1100.0,755.0,1192.0,14.9
502,1224.0,980.0,850.0,1055.0,15.7
503,1253.0,1026.0,810.0,1048.0,15.2
504,1312.0,1041.0,821.0,1073.0,15.5
505,1254.0,1033.0,819.0,1068.0,14.3
506,1198.0,953.0,882.0,1019.0,13.2
507,1060.0,787.0,1044.0,833.0,12.6
508,1050.0,769.0,1078.0,759.0,12.3
509,1029.0,754.0,1098.0,749.0,12.0
510,1143.0,825.0,986.0,978.0,12.0
511,1044.0,770.0,1031.0,944.0,11.5
512,1034.0,716.0,1085.0,891.0,10.7
513,956.0,713.0,1099.0,849.0,9.0
514,909.0,615.0,1237.0,790.0,10.2
515,996.0,648.0,1176.0,852.0,11.0
516,1154.0,876.0,1002.0,987.0,9.6
517,1510.0,1291.0,675.0,1435.0,9.5
518,1722.0,1595.0,539.0,1798.0,11.9
519,1512.0,1323.0,631.0,1677.0,16.2
520,1258.0,1040.0,800.0,1282.0,19.2
521,1094.0,850.0,970.0,871.0,19.7
522,1129.0,875.0,974.0,759.0,20.6
523,1125.0,924.0,937.0,790.0,21.8
524,-200.0,-200.0,-200.0,-200.0,-200
525,-200.0,-200.0,-200.0,-200.0,-200
526,-200.0,-200.0,-200.0,-200.0,-200
527,1308.0,1193.0,793.0,1187.0,23.6
528,1529.0,1331.0,700.0,1399.0,22.8
529,1592.0,1429.0,624.0,1644.0,20.8
530,1536.0,1302.0,666.0,1599.0,18.3
531,1192.0,1007.0,827.0,1223.0,16.8
532,1186.0,976.0,844.0,1200.0,15.8
533,1203.0,920.0,898.0,1118.0,14.9
534,1139.0,899.0,921.0,1067.0,14.1
535,1072.0,795.0,986.0,1048.0,13.3
536,954.0,667.0,1180.0,718.0,13.3
537,951.0,673.0,1137.0,797.0,11.8
538,926.0,638.0,1195.0,749.0,11.2
539,968.0,628.0,1197.0,737.0,11.3
540,1067.0,727.0,1055.0,903.0,11.4
541,1386.0,1083.0,798.0,1159.0,11.9
542,1474.0,1306.0,634.0,1365.0,12.6
543,1569.0,1316.0,634.0,1510.0,13.6
544,1375.0,1177.0,706.0,1386.0,16.9
545,1328.0,1123.0,738.0,1368.0,19.4
546,1341.0,1176.0,748.0,1347.0,22.9
547,1297.0,1183.0,765.0,1242.0,23.6
548,1303.0,1139.0,790.0,1138.0,24.7
549,1281.0,1116.0,809.0,1080.0,26.1
550,1248.0,1103.0,872.0,1002.0,27.6
551,1382.0,1288.0,778.0,1212.0,26.9
552,1491.0,1385.0,685.0,1486.0,24.3
553,1620.0,1407.0,641.0,1567.0,21.2
554,1693.0,1439.0,618.0,1723.0,19.4
555,1374.0,1121.0,771.0,1399.0,18.5
556,1287.0,982.0,841.0,1291.0,17.8
557,1408.0,1052.0,761.0,1443.0,16.8
558,1254.0,941.0,828.0,1270.0,17.1
559,1141.0,827.0,936.0,1110.0,16.2
560,1141.0,777.0,986.0,1060.0,15.1
561,1042.0,697.0,1056.0,965.0,15.1
562,986.0,651.0,1145.0,891.0,14.5
563,1005.0,673.0,1103.0,905.0,13.7
564,1041.0,683.0,1112.0,899.0,13.9
565,1272.0,959.0,846.0,1136.0,13.3
566,1436.0,1154.0,704.0,1391.0,15.1
567,1472.0,1126.0,720.0,1460.0,17.0
568,1418.0,1023.0,785.0,1410.0,19.7
569,1410.0,1030.0,781.0,1372.0,20.7
570,1438.0,1096.0,781.0,1266.0,23.3
571,1278.0,1000.0,866.0,1014.0,23.8
572,1257.0,1006.0,915.0,870.0,24.8
573,1331.0,1046.0,882.0,905.0,25.0
574,1361.0,1102.0,834.0,991.0,25.8
575,1398.0,1156.0,812.0,1076.0,25.1
