Temperature,Tin Oxide,Titania,Tungsten Oxide,Indium Oxide
11.8,869,554,1460,667
11.9,891,576,1417,733
9.9,1173,878,1038,1052
11.1,1587,1334,702,1534
14.1,1852,1696,553,1931
17.7,1522,1331,703,1734
21.1,1438,1161,819,1595
24.3,1393,1067,905,1490
25.6,1452,1152,861,1508
25.9,1389,1108,887,1334
26.8,1207,994,1013,1045
29.3,1365,1154,940,1221
28.5,1247,1060,1032,1069
25.9,1557,1478,793,1569
23.1,1973,1737,617,2306
20.5,1975,1667,597,2359
19.1,1795,1485,653,2050
17.2,1444,1150,770,1727
16,1488,1171,731,1705
14.8,1371,1083,796,1551
14.3,1161,904,947,1240
14.8,1064,787,1057,1115
13.9,970,687,1196,969
11.6,954,645,1260,925
12,931,623,1293,828
10.9,938,650,1251,893
10.6,1166,885,1005,1075
11.5,1643,1384,667,1610
14.3,1934,1682,541,2051
17.8,1617,1333,686,1819
20.8,1473,1127,831,1568
23.8,1379,1068,899,1374
24.2,1385,1056,891,1268
25.2,1379,1087,901,1144
27,1322,1129,934,1109
27.1,1496,1205,822,1347
25.8,1409,1131,873,1206
23,1513,1338,764,1397
20.7,1667,1464,683,1588
18.6,1667,1453,684,1569
16,1430,1121,814,1322
14.5,1333,989,885,1194
13.1,1262,911,948,1062
12,1287,936,918,1040
11.9,1134,840,1021,917
12.5,999,688,1229,594
12.5,961,622,1382,430
12.3,934,569,1440,397
12.5,913,525,1620,370
12.3,969,607,1373,438
12.4,1182,845,1054,704
13,1740,1372,671,1476
13.6,1819,1582,575,1716
13.9,1427,1275,701,1398
14.5,1390,1191,759,1268
15.5,1283,1117,813,1188
16.1,1304,1157,793,1171
16.3,1364,1202,771,1250
16.4,1410,1268,724,1344
16.1,1476,1280,708,1378
16,1522,1320,690,1435
15.8,1442,1301,704,1372
15.5,1469,1344,677,1471
15.4,1467,1292,698,1439
15.2,1421,1202,748,1429
14.7,1175,945,904,1081
14.2,1215,912,948,993
13.8,1127,802,1064,837
13.9,1090,773,1105,761
13.9,1017,718,1182,650
13.8,997,677,1252,591
13.8,945,646,1308,505
13.6,956,661,1260,518
13.6,966,622,1317,571
13.5,1064,728,1161,842
13.8,1300,935,902,1145
14.6,1348,998,834,1218
15,1425,1068,776,1341
15.4,1474,1061,768,1406
16.3,1490,1039,782,1422
17.1,1495,1040,809,1373
19,1376,953,900,1153
19.5,1305,884,980,927
19.5,1283,844,1036,766
19.1,1392,967,930,941
18.5,1452,1063,856,1146
17.4,1633,1199,734,1417
17.1,1625,1191,733,1442
16.4,1535,1108,785,1323
16.2,1323,973,864,1125
15.9,1309,937,905,1036
15.7,1456,999,835,1202
15.1,1300,872,941,1054
15.6,1203,823,1004,903
15.2,1195,836,987,885
15.4,1117,802,1029,818
14.9,1062,711,1136,700
14.5,947,594,1300,580
14.2,1065,687,1143,815
14.5,1155,734,1062,1035
15.3,1220,782,996,1067
16.3,1301,862,914,1114
18.9,1279,870,911,1000
19.4,1267,883,953,906
20.8,1239,848,981,822
21.4,1128,742,1144,610
21.2,1243,916,962,657
20.3,1208,853,1060,647
19.4,1306,938,961,762
18.5,1546,1151,769,1122
17.8,1501,1071,823,1130
17.9,1605,1153,769,1637
17.4,1316,974,883,1272
17,1195,898,933,1098
16.4,1211,896,920,1066
16.1,1161,815,995,909
15.8,1095,767,1050,818
16.3,897,563,1417,472
16.9,842,468,1813,394
16.1,854,481,1756,396
16.5,845,472,1786,378
16.4,942,586,1480,432
15.7,1090,768,1072,699
15.8,1514,1230,732,1252
17.4,1379,1252,711,1237
17.9,1074,854,1032,772
18.5,1090,868,1026,766
21,1110,964,947,829
21.3,1102,994,955,783
21.3,1100,1021,952,822
21.3,1094,1003,965,813
21.3,1076,1034,964,813
20.2,1152,1062,928,850
17,1407,1249,720,1276
15.6,1438,1325,678,1401
15.3,1425,1325,678,1356
14.5,1279,1131,775,1243
13.9,1132,916,920,1083
14.5,1006,729,1142,795
13.8,982,700,1204,735
14,969,636,1271,684
13,941,621,1298,714
11,892,522,1522,456
10.1,855,478,1701,401
8.8,834,459,1908,361
9.6,909,567,1542,418
9.8,1061,745,1178,616
10,1441,1124,851,1089
11.2,1498,1325,684,1329
12,1343,1185,760,1311
12.8,1308,1166,792,1236
13.1,1209,1097,837,1147
13.8,1310,1207,770,1301
16,1171,1064,881,1097
14.1,1112,980,924,900
12,1132,927,944,781
13.6,1225,1111,818,1013
13.7,1065,953,962,790
11.7,1236,1084,854,1059
11.5,1309,1126,812,1205
12.6,1089,884,1006,975
12,1000,776,1141,896
11,1041,782,1105,911
11.1,1045,756,1137,902
10.8,997,744,1151,832
11.3,948,634,1320,715
10.6,878,551,1493,683
10.2,908,559,1477,721
10.9,892,522,1572,648
10.8,954,561,1496,612
10.4,1045,751,1186,800
11,1383,1109,832,1173
11.2,1597,1395,652,1519
12.1,1318,1124,762,1287
15.1,1138,898,950,966
15.6,1098,842,1012,828
16.9,1118,927,959,825
16.6,1170,1009,879,872
11.3,1112,842,1015,680
9.6,1390,1028,829,1002
11.7,1353,1096,774,1159
10.7,1260,1050,828,979
10.7,1501,1302,681,1311
10.8,1273,1130,795,1071
10.3,1179,955,928,899
10.1,1047,809,1064,766
10.4,973,739,1186,589
10.3,997,737,1168,631
11,970,621,1400,479
9.1,902,568,1450,479
9.5,921,538,1564,417
9.3,858,490,1707,378
9.9,878,457,1935,344
7.6,893,540,1604,413
8.1,1038,697,1260,605
8.7,1320,1035,902,991
8.6,1353,1235,740,1175
9.7,1133,933,969,923
11,1066,849,1039,829
13.6,1027,809,1081,733
14.2,1106,935,958,819
14.2,1038,907,976,723
16,1084,924,986,786
17.7,1105,982,939,850
17.1,1102,957,968,820
14.9,1240,1137,836,991
13.4,1443,1418,666,1454
12.6,1389,1341,692,1488
12.2,1183,989,904,1205
10.6,1014,798,1083,909
9.9,979,736,1154,769
9.6,1048,787,1098,835
9.7,1024,753,1131,793
9.4,974,690,1208,733
8.2,862,561,1449,502
8,925,602,1398,562
7.7,952,654,1210,832
8,1005,713,1130,924
8.5,1122,842,1015,974
9.8,1351,1201,783,1307
11.2,1408,1278,682,1481
14.8,1304,1142,772,1405
16.8,1207,1098,826,1195
19.2,1099,1014,948,868
19.1,1106,1068,915,874
16.3,1009,916,1015,738
14.2,962,776,1152,550
13.4,1093,933,976,777
14.2,1180,1023,886,966
12.1,1168,1037,868,990
10.4,1168,1063,876,944
10,1140,1000,916,962
9.8,1001,811,1097,778
9.7,953,743,1185,690
9.9,972,715,1237,644
9.4,1021,776,1144,753
8.6,940,664,1290,646
8.1,1046,736,1142,838
7.9,1026,699,1191,851
7.4,983,698,1209,801
8.2,915,578,1417,665
6.3,935,615,1373,717
7.2,976,669,1270,795
7.2,1124,842,1050,936
11.1,1163,919,922,1076
15.5,1167,966,942,1016
17.8,1121,955,992,834
17.6,1071,940,994,756
19.1,1065,979,950,766
17.7,1157,1072,888,905
17.8,1046,883,1051,765
18.7,1147,1042,934,830
17.1,1119,1022,916,853
15.8,1210,1062,886,981
14.7,1306,1079,827,1286
13.6,1258,1057,841,1244
12.5,1148,930,948,1056
11.8,1108,848,1023,1003
10.9,1231,924,906,1245
10.9,1293,937,930,1200
10.3,1274,912,939,1188
9.3,1135,827,1013,1070
8.2,1151,911,935,1075
8.3,1010,769,1110,895
9.6,870,626,1325,755
7.7,983,688,1251,806
7.4,995,691,1219,836
9.7,1024,747,1136,897
12.5,1163,880,959,1073
16.8,1218,938,918,1088
19.2,1210,958,933,1036
21.3,1114,887,1020,768
21.2,995,796,1159,587
18.6,927,700,1285,452
18,1002,754,1189,470
18.2,987,727,1213,502
17,993,714,1217,516
15.6,1012,746,1174,555
14.1,1114,823,1068,671
13.4,1093,789,1102,788
12.3,968,669,1261,538
11.9,960,666,1266,544
11.5,942,648,1300,500
10.6,888,598,1396,417
10.7,818,524,1588,341
10.4,840,509,1643,352
10.1,894,524,1557,397
11.3,864,516,1496,502
10.1,898,559,1441,648
9.9,946,643,1309,760
8.1,1309,1125,844,1183
10.9,1326,1289,714,1431
11.8,966,786,1111,705
13.9,975,793,1133,637
15.6,988,803,1105,658
16.5,971,786,1129,546
17.5,1010,833,1070,561
17.9,984,790,1131,532
18.2,962,776,1131,535
18,1012,801,1098,525
17,1058,896,996,603
16.1,1173,985,905,802
14.5,1127,907,957,796
13.2,1020,797,1066,689
13.1,949,700,1221,553
13.5,930,710,1278,509
12.4,900,643,1339,455
13.1,899,630,1418,425
11.6,866,569,1468,436
10.5,900,563,1402,618
11.7,949,540,1457,747
12.2,897,529,1462,693
12.9,956,605,1341,691
11.3,1054,779,1080,1013
11.9,1343,1096,839,1311
13.3,1584,1399,642,1675
16.3,1556,1337,674,1689
17.9,1565,1324,695,1688
18.3,1429,1251,734,1548
20.8,1419,1267,742,1490
22.4,1373,1213,791,1354
20.9,1185,992,942,1014
19.1,1122,897,991,831
18.1,1085,820,1060,699
17.3,1249,968,874,926
15.8,1236,962,853,928
15.9,1334,1047,815,1038
15.9,1264,928,884,1035
15,1073,746,1072,789
15.1,1053,701,1147,692
14.9,1098,747,1094,764
14.8,1029,702,1180,639
14.8,973,631,1287,541
14.8,972,639,1222,678
14.2,832,496,1613,381
14.5,851,477,1699,343
14.6,909,545,1473,436
14.4,1038,684,1220,688
13.8,1636,1168,721,1438
13.2,1580,1295,639,1489
10.4,1262,924,872,1093
11.5,1197,837,957,965
12.2,1277,886,902,1004
12.3,1430,1025,779,1166
11.3,1242,944,846,991
13.6,1349,1023,804,1054
14.9,1390,1100,755,1192
15.7,1224,980,850,1055
15.2,1253,1026,810,1048
15.5,1312,1041,821,1073
14.3,1254,1033,819,1068
13.2,1198,953,882,1019
12.6,1060,787,1044,833
12.3,1050,769,1078,759
12,1029,754,1098,749
12,1143,825,986,978
11.5,1044,770,1031,944
10.7,1034,716,1085,891
9,956,713,1099,849
10.2,909,615,1237,790
11,996,648,1176,852
9.6,1154,876,1002,987
9.5,1510,1291,675,1435
11.9,1722,1595,539,1798
16.2,1512,1323,631,1677
19.2,1258,1040,800,1282
19.7,1094,850,970,871
20.6,1129,875,974,759
21.8,1125,924,937,790
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
23.6,1308,1193,793,1187
22.8,1529,1331,700,1399
20.8,1592,1429,624,1644
18.3,1536,1302,666,1599
16.8,1192,1007,827,1223
15.8,1186,976,844,1200
14.9,1203,920,898,1118
14.1,1139,899,921,1067
13.3,1072,795,986,1048
13.3,954,667,1180,718
11.8,951,673,1137,797
11.2,926,638,1195,749
11.3,968,628,1197,737
11.4,1067,727,1055,903
11.9,1386,1083,798,1159
12.6,1474,1306,634,1365
13.6,1569,1316,634,1510
16.9,1375,1177,706,1386
19.4,1328,1123,738,1368
22.9,1341,1176,748,1347
23.6,1297,1183,765,1242
24.7,1303,1139,790,1138
26.1,1281,1116,809,1080
27.6,1248,1103,872,1002
26.9,1382,1288,778,1212
24.3,1491,1385,685,1486
21.2,1620,1407,641,1567
19.4,1693,1439,618,1723
18.5,1374,1121,771,1399
17.8,1287,982,841,1291
16.8,1408,1052,761,1443
17.1,1254,941,828,1270
16.2,1141,827,936,1110
15.1,1141,777,986,1060
15.1,1042,697,1056,965
14.5,986,651,1145,891
13.7,1005,673,1103,905
13.9,1041,683,1112,899
13.3,1272,959,846,1136
15.1,1436,1154,704,1391
17,1472,1126,720,1460
19.7,1418,1023,785,1410
20.7,1410,1030,781,1372
23.3,1438,1096,781,1266
23.8,1278,1000,866,1014
24.8,1257,1006,915,870
25,1331,1046,882,905
25.8,1361,1102,834,991
25.1,1398,1156,812,1076
23.7,1483,1213,764,1249
22.1,1697,1471,625,1548
19.9,1459,1124,736,1300
18.7,1268,918,873,1029
18.1,1469,1128,762,1207
17.5,1316,952,847,1047
16.7,1224,892,884,923
15.9,1215,843,929,862
15.2,1115,782,980,752
14.7,1124,793,965,791
14.3,1028,682,1090,697
13.7,1010,650,1171,664
12.9,1074,731,1020,891
13.7,1034,684,1110,813
15.3,1130,720,1063,828
18.1,1275,900,868,1057
21.5,1324,939,846,1011
23.3,1268,902,906,932
25.1,1272,924,895,881
25.6,1160,860,969,646
25.8,1136,792,1057,536
26.1,1296,977,863,746
24.4,1345,996,841,833
23,1296,983,845,802
22.1,1258,977,838,838
19.8,1420,1085,755,1051
18.5,1366,997,830,1041
16.6,1113,772,989,646
15.8,1196,853,909,769
15.3,1188,829,930,785
14.7,1102,750,1007,613
14.8,969,611,1239,430
15,983,600,1233,485
15.5,876,505,1456,467
16,884,489,1536,436
13.5,1024,658,1175,682
12.9,1126,822,945,927
13.4,1415,1089,767,1192
14.5,1631,1449,570,1615
15.3,1499,1247,647,1505
15.6,1461,1127,703,1451
16.6,1430,1107,713,1409
17,1498,1171,684,1434
18,1454,1162,682,1457
19.5,1402,1069,733,1325
21.6,1327,971,803,1120
22.2,1273,963,832,931
20.3,1457,1190,678,1212
19.7,1543,1290,631,1353
18.8,1499,1239,651,1359
17.9,1378,1102,742,1273
17.5,1243,928,852,1079
17.4,1196,885,884,973
17,1137,869,890,951
16.6,1015,718,1065,714
15.9,978,635,1188,579
15,933,547,1357,542
14.5,927,579,1267,562
14.1,908,569,1303,526
14.6,980,677,1141,659
14.4,1236,920,880,1012
15.3,1664,1407,594,1564
16.2,1757,1636,494,1806
18.4,1524,1350,588,1604
19.6,1329,1119,707,1288
20.2,1167,884,881,931
20.9,1369,1132,715,1162
20.4,1284,1103,755,1064
19.3,1221,1032,811,913
18.6,1096,947,872,684
18.8,1143,988,849,710
17.5,1251,1116,760,923
16.8,1268,1148,728,1006
16.3,1314,1150,726,1083
15.6,1315,1142,724,1161
15.7,1095,918,896,800
15.8,1027,808,996,647
15.7,1012,752,1053,649
15.7,948,710,1127,575
15.6,889,603,1308,455
15.6,830,538,1475,392
16.1,801,464,1749,340
15.7,804,468,1826,320
15.3,824,478,1705,331
14.2,1000,688,1257,426
14.3,1307,1082,777,830
15,1286,1171,716,1006
13.6,1150,925,865,820
16.1,1087,876,911,737
16.6,1016,839,991,790
17.4,1029,892,937,760
18.1,1109,943,883,767
14.4,997,817,1030,626
10.9,1177,880,927,776
16.4,1045,808,1038,589
18,1171,1073,847,872
14.7,1221,1101,799,996
11.3,1262,1133,774,1033
10,1207,1013,876,982
9.8,956,666,1235,518
9.3,1020,727,1153,631
9.6,1107,861,957,879
9.3,1020,752,1074,839
9,1051,798,1016,876
8.2,965,716,1087,827
7.6,890,672,1183,781
8.3,823,568,1366,699
8.1,869,642,1291,723
8.1,939,754,1169,797
8.1,1274,1109,820,1138
9.9,1512,1482,596,1605
13,1435,1271,676,1569
16.5,1207,1041,813,1319
19.3,1223,1075,818,1198
21.5,1121,1026,865,958
20.4,1176,1123,816,1068
20.6,1144,1114,845,1010
20.6,1136,1089,856,928
21,1085,1004,888,816
21.5,1297,1287,723,1216
19.3,1408,1404,646,1463
18,1618,1530,579,1791
15.8,1319,1172,746,1425
15.3,1045,857,968,922
14.1,1058,824,993,971
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
12,1176,917,866,1151
12,1047,783,1014,975
11.5,1116,854,929,1034
11.4,1074,832,951,980
11.1,922,687,1142,825
10.8,898,669,1163,807
10.2,970,708,1121,842
10.8,1073,812,988,950
11,1081,906,895,1024
12.4,1159,976,837,1098
15,1112,931,869,1011
16.6,1112,917,897,931
18,1063,877,971,811
20.6,1032,892,973,756
19.9,936,829,1054,607
19.8,883,766,1152,498
21.4,942,852,1055,540
22.1,943,850,1084,544
21.1,1007,875,1027,620
18.3,1037,927,949,740
16.1,1127,1022,871,921
14.8,1123,996,861,1033
13.2,1110,909,916,984
12.3,1247,1037,812,1193
11.8,1220,967,844,1219
11.2,1028,770,1047,913
11,978,711,1144,750
9.3,949,694,1160,772
8.8,910,709,1162,712
7.8,863,651,1224,712
7.7,836,643,1244,727
7.4,856,644,1259,746
8.2,888,651,1240,733
8.7,912,694,1196,727
13,938,706,1177,642
17.4,1053,823,1040,810
20.2,1087,870,1014,851
22.7,1153,945,969,911
22.3,894,710,1209,611
22.2,797,606,1452,368
22,854,658,1409,369
21,892,665,1348,394
19.6,935,672,1299,415
17.9,989,709,1225,469
16.4,1063,797,1079,607
15.6,922,674,1220,498
15.5,925,680,1223,481
14.5,924,648,1272,465
14.2,914,661,1256,478
13.7,840,556,1474,366
14.1,799,514,1615,332
14.6,856,581,1448,346
14.4,830,560,1452,350
13.9,753,462,1822,274
13.5,785,448,1923,263
13.9,835,472,1756,314
13.5,865,494,1613,367
13.3,922,541,1453,432
13.4,975,598,1268,536
13,1040,646,1210,555
12.7,1115,707,1105,677
12.1,1004,641,1201,557
11.2,895,536,1415,421
10.7,917,563,1415,423
11.4,1025,689,1189,519
9.9,1035,660,1222,533
10.3,1025,682,1197,537
11,1040,705,1149,612
10.6,1070,776,1065,697
10.6,964,692,1176,573
10.6,904,635,1269,489
10.3,913,626,1271,474
10.4,914,610,1322,455
10.7,893,587,1368,433
10.5,844,532,1499,376
10.5,837,518,1581,360
10.6,868,530,1482,384
11.1,825,489,1565,363
10.1,956,656,1251,525
10,1124,853,960,873
11,1496,1272,667,1399
12,1452,1354,620,1501
12.8,1172,1042,797,1186
12.6,1020,871,956,911
13.8,1044,900,934,919
15.1,1020,866,972,791
16.3,1009,885,994,751
16.6,1073,966,935,805
15.8,1098,971,877,966
16.3,1061,887,920,869
16.1,1289,1158,755,1196
15.3,1442,1337,630,1523
14.7,1479,1343,631,1579
14.1,1266,1138,726,1370
13.5,1149,952,845,1204
12.3,1168,954,843,1201
11.6,1079,847,925,1122
11.5,1047,760,1032,1003
10.9,936,705,1086,918
11.1,900,635,1207,836
10.7,839,576,1325,759
10.7,840,563,1349,755
10.2,905,670,1191,820
10.3,1079,875,947,998
10.8,1417,1246,669,1403
13.3,1529,1497,569,1641
15.8,1397,1248,659,1534
19.5,1214,1061,780,1257
21.1,1109,935,882,1026
18.4,1122,993,859,993
21,1094,966,877,919
21.4,1164,1076,788,1032
21.3,1188,1082,790,1077
20.4,1098,934,895,883
18.7,1180,1014,826,1036
18.6,1195,1072,799,1144
17.9,1234,1095,789,1212
16.5,1425,1242,675,1486
14.8,1320,1085,730,1440
13.4,1158,892,870,1242
13.4,1060,805,964,1089
12.3,1036,746,1034,993
11.6,943,660,1163,862
10.7,899,591,1243,815
10.2,889,559,1331,714
10.5,847,527,1416,682
9.3,918,625,1255,744
9.1,1105,897,906,1050
10.2,1491,1335,625,1522
11.6,1508,1355,609,1623
13.5,1489,1270,633,1638
15,1451,1219,661,1633
17.1,1454,1225,661,1654
18.4,1392,1210,689,1559
19.3,1351,1210,709,1374
19.2,1418,1282,681,1418
21.5,1303,1143,748,1228
19.6,1292,1116,746,1293
19.6,1560,1413,594,1642
18.3,1765,1507,533,1895
17.4,1875,1637,482,2086
16.8,1746,1409,553,1898
16.2,1607,1290,587,1758
14.9,1277,952,802,1284
13.9,1207,868,877,1075
13.7,1209,863,882,1084
13.4,1189,844,887,1049
12.8,1132,810,899,1021
12.9,974,635,1159,778
11.9,1033,686,1030,948
11.6,1075,782,941,988
11.7,1242,978,778,1184
12.8,1657,1384,579,1600
13.8,1406,1258,636,1495
15.3,1150,973,827,1188
16.6,1184,983,823,1166
17.6,1223,1014,781,1219
19.2,1196,997,802,1128
15.7,1559,1267,653,1373
14.5,1544,1266,613,1415
14.4,1485,1223,650,1302
14.6,1498,1230,649,1308
14.6,1593,1378,582,1449
14,1529,1309,627,1385
13.9,1689,1474,560,1492
13.8,1535,1295,627,1380
13.5,1304,1067,737,1167
13.1,1235,963,803,1095
12.8,1281,977,794,1105
12.7,1167,904,846,1051
12.5,1134,863,869,1009
12.7,1100,829,887,972
12.4,1057,768,958,884
12.6,902,652,1158,661
12.8,982,724,1055,774
12.6,997,769,1002,868
12.5,1141,902,905,965
12.8,1163,930,849,985
13.5,1107,864,911,963
14.6,1228,949,838,1069
16.8,1033,810,969,864
18.8,984,763,1054,641
19.3,1066,879,939,740
19.3,926,707,1130,532
19.7,979,764,1054,572
19.3,993,783,1033,630
17.9,970,763,1043,608
16.9,997,788,1014,644
16.1,1097,892,909,833
16.5,1105,908,900,923
16.9,993,777,1022,790
17,1136,896,919,961
16.9,1297,1003,798,1177
16.3,1110,855,897,943
16,1027,827,942,742
15.6,1024,795,982,705
14.6,992,783,988,663
14.3,929,664,1144,536
13.8,892,579,1309,441
13.8,895,609,1268,477
14.2,915,612,1266,506
14.5,947,649,1154,608
14.2,1032,721,1052,663
14.5,1219,849,901,912
14.9,1217,869,873,963
15.5,1097,779,980,803
16.7,938,674,1136,564
17.1,944,677,1140,501
16.2,1139,847,929,701
17.4,1163,859,921,783
17.5,1157,885,916,784
17.5,1154,919,876,861
17,1342,1102,744,1156
16.4,1178,949,847,1047
15.8,1152,926,854,1034
15.5,1078,841,920,962
15,1167,945,826,1100
14.5,1111,890,871,1047
14.1,988,722,1029,874
13.8,917,677,1103,747
13.1,850,562,1275,589
13,885,589,1238,635
14.3,888,597,1242,671
14,1101,852,913,992
15.4,1399,1195,680,1308
16.5,1325,1260,652,1303
18.8,1058,921,876,893
19.5,990,846,947,715
18.5,1018,879,950,685
18,1105,1010,811,947
16.5,1194,1097,743,1049
12.1,1088,893,892,741
11.1,1084,933,872,801
10.5,1207,1032,797,969
10,1186,1042,808,1038
11.3,1053,911,916,889
10.7,1032,895,921,879
9.9,989,846,960,846
10.8,930,745,1085,712
10.2,951,766,1056,747
10.1,985,780,1017,791
9.9,937,703,1136,637
9.5,887,648,1222,553
9.5,806,544,1429,449
9.7,771,483,1587,485
9.8,802,519,1523,540
10,878,644,1260,685
10.3,1070,883,942,925
11,1430,1316,638,1382
12.3,1565,1549,540,1645
14.5,1365,1299,637,1514
16,1348,1214,678,1509
18.1,1311,1279,648,1520
23,1302,1260,658,1471
21.8,1250,1173,720,1282
21.9,1083,988,859,1004
23.8,1005,894,956,714
25.9,1129,1107,844,940
25.8,1327,1289,712,1272
22.6,1428,1437,599,1526
19.9,1426,1400,612,1488
17.9,1310,1313,663,1475
16.8,1114,1059,792,1182
16,991,889,932,933
14.2,1089,940,866,1001
14.2,911,740,1071,756
12.2,1005,802,976,952
13.2,863,664,1172,808
10.9,857,653,1197,779
11.3,804,585,1301,717
10.1,871,694,1160,779
10.2,1035,929,887,1009
11.8,1513,1480,572,1595
14,1726,1776,478,1940
17,1396,1296,619,1628
22.3,1333,1212,668,1573
24.4,1161,1016,849,1187
25.9,1081,1000,900,900
25.8,1075,998,914,800
26.3,1055,964,953,770
27,1053,953,988,758
27.3,1087,1075,944,886
25.8,1304,1291,765,1219
